identifier;name;familyName;givenName;country;group;gender;citizenship;memberships;born_place;born_day;born_month;born_year;disability;born_lat;born_lon;relatives;educated_at;highest_degree;occupation
96933;milan zver;Zver;Milan;SI;PPE;MALE;SVN;DSAS,CULT,AFET,DCAM,DLAT;Ljubljana;25.0;5.0;1962.0;;46.051388888;14.506111111;;University of Graz,University of Ljubljana;;researcher,politician
96837;petra kammerevert;Kammerevert;Petra;DE;S&D;FEMALE;DEU;D-ME,CULT,IMCO,D-AL;Duisburg;1.0;6.0;1966.0;;51.432222222;6.761111111;;University of Duisburg-Essen;university;politician,official,manager
28141;lívia járóka;Járóka;Lívia;HU;NI;FEMALE;HUN;FEMM,D-ZA,EMPL,DKOR;Tata;6.0;10.0;1974.0;;47.65;18.316666666;;University College London,Central European University,University of Sopron;;politician
28353;anna fotyga;Fotyga;Anna;PL;ECR;FEMALE;POL;AFET,SEDE,D-UK,DSCA,DEPA,DNAT;Lębork;12.0;1.0;1957.0;;54.55;17.75;;University of Gdańsk,Defenders of Westerplatte High School in Gdańsk;university;manager,diplomat,official,politician,trade unionist
197842;elena yoncheva;Yoncheva;Elena;BG;S&D;FEMALE;BGR;D-IL,D-AF,LIBE,SEDE,DMED,AFET,D-CN;Sofia;27.0;5.0;1964.0;;42.697886;23.321726;;Moscow State University;;journalist,politician
197573;kira marie peter-hansen;Peter-Hansen;Kira Marie;DK;Verts/ALE;FEMALE;DNK;FISC,ECON,EMPL,DEEA,D-IN,ITRE,FEMM,D-ZA;Frederiksberg C;23.0;2.0;1998.0;;55.6775;12.536388888;;University of Copenhagen;;politician
197801;franco roberti;Roberti;Franco;IT;S&D;MALE;ITA;JURI,DMAS,DMED,LIBE,D-IR;Napoli;16.0;11.0;1947.0;;40.835833333;14.248611111;;University of Naples Federico II;;official,lawyer,politician
197802;ville niinistö;Niinistö;Ville;FI;Verts/ALE;MALE;FIN;ENVI,ITRE,DASE,ECON,D-RU;Turku;30.0;7.0;1976.0;;60.451388888;22.266666666;Kari Niinistö,Sauli Niinistö;University of Turku;university;researcher,politician
124835;rosa d'amato;D'Amato;Rosa;IT;Verts/ALE;FEMALE;ITA;REGI,PECH,DPAL,DMED,EMPL;Taranto;30.0;3.0;1969.0;;40.471111111;17.243055555;;University of Florence;university;politician,teacher
124747;pedro silva pereira;Silva Pereira;Pedro;PT;S&D;MALE;PRT;ECON,AFCO,D-UK,D-JP,INTA,DLAT,DACP,DCAB;Lisbon;15.0;8.0;1962.0;;38.708042;-9.139016;;University of Lisbon;university;politician,lawyer,professor
125067;theodoros zagorakis;Zagorakis;Theodoros;GR;NI;MALE;GRC;;Kavala;27.0;10.0;1971.0;;41.02916667;24.28083333;;;;politician,athlete
197719;cristina maestre martín de almagro;Maestre Martín De Almagro;Cristina;ES;S&D;FEMALE;ESP;REGI,PETI,D-CN,INTA,AGRI;Ciudad Real;27.0;7.0;1975.0;;;;;;university;
197810;nils ušakovs;Ušakovs;Nils;LV;S&D;MALE;LVA;BUDG,D-US,DEPA,LIBE,DSCA;RIGA;8.0;6.0;1976.0;;56.9475;24.106944444;;University of Latvia,University of Southern Denmark;university;politician
197846;ivo hristov;Hristov;Ivo;BG;S&D;MALE;BGR;ITRE,DCAS,AGRI,PECH,D-UK,D-US;Istanbul;8.0;10.0;1970.0;;41.01;28.960277777;;Sofia University;;journalist,politician,translator
236051;eric minardi;Minardi;Eric;FR;ID;MALE;FRA;REGI,D-CA,BUDG;Toulon;18.0;3.0;1956.0;;;;;;;
124836;maria noichl;Noichl;Maria;DE;S&D;FEMALE;DEU;AGRI,FEMM,DMED,DACP,DAFR,DEVE,DROI,D-ZA;Rosenheim;9.0;1.0;1967.0;;47.856111111;12.128888888;;;university;politician,teacher
238674;theresa bielowski;Bielowski;Theresa;AT;S&D;FEMALE;AUT;D-AL,LIBE,AGRI,DROI,DSEE,DMAS;Schwaz (In Tirol);15.0;6.0;1984.0;;47.35;11.7;;University of Innsbruck;;politician
197545;bogdan rzońca;Rzońca;Bogdan;PL;ECR;MALE;POL;BUDG,DSEE,ECON,D-MK;Zarzecze;1.0;2.0;1961.0;;49.6772;21.4817;;Pedagogical University of Kraków;;politician
197563;mauri pekkarinen;Pekkarinen;Mauri;FI;Renew;MALE;FIN;ITRE,D-JP,BUDG,REGI,DEEA,DCAS;Kinnula;6.0;10.0;1947.0;;63.366666666;24.966666666;;University of Jyväskylä;university;politician,researcher,manager
96922;izaskun bilbao barandica;Bilbao Barandica;Izaskun;ES;Renew;FEMALE;ESP;DAND,TRAN,PECH,DLAT,ITRE,D-US;Bermeo;27.0;3.0;1961.0;;43.420833333;-2.721388888;;University of the Basque Country;university;lawyer,politician
198490;emmanouil fragkos;Fragkos;Emmanouil;GR;ECR;MALE;GRC;DCAR,INTA,ENVI,PETI,AGRI,SANT,D-CN;Chios;27.0;6.0;1993.0;;;;;;;
124766;petras auštrevičius;Auštrevičius;Petras;LT;Renew;MALE;LTU;D-AF,AFET,SEDE,D-UA,DEPA,DNAT,DEVE,DROI,D-BY;Vilnius;16.0;5.0;1963.0;;54.5806;25.2667;;Vilnius University,Lithuanian Academy of Sciences,Hoover Institution;phd;manager,diplomat,professor,official,researcher,politician
197488;guido reil;Reil;Guido;DE;ID;MALE;DEU;EMPL,DAND,DACP,DPAC,ITRE,D-TR,DPAP;GELSENKIRCHEN;19.0;1.0;1970.0;;51.516666666;7.1;;;;trade unionist,politician
