name;father;mother;born_place;birthplace_link;relatives;degrees;educated_at;occupation;born_day;born_month;born_year
Richard Tice;;;Farnham;http://www.wikidata.org/entity/Q643160;;;University of Salford,Uppingham School;politician;13;09;1964
Dragoș Pîslaru;;;Bucharest;http://www.wikidata.org/entity/Q19660;;;Bucharest University of Economic Studies,London School of Economics and Political Science;researcher;23;03;1976
David Sassoli;;;Florence;http://www.wikidata.org/entity/Q2044;;;University of Florence;politician,media;30;05;1956
Eva Kaili;Alexander Kaïlí;;Thessaloniki;http://www.wikidata.org/entity/Q17151;Alexander Kaïlí;;Aristotle University of Thessaloniki;architect,politician,media;26;10;1978
Danuta Hübner;;;Nisko;http://www.wikidata.org/entity/Q983983;;phd,university;X LO im. Królowej Jadwigi in Warsaw,SGH Warsaw School of Economics;politician,teacher,official,researcher;08;04;1948
Gianantonio Da Re;;;Cappella Maggiore;http://www.wikidata.org/entity/Q29363;;;;politician;06;09;1953
Mircea Hava;;;Oradea;http://www.wikidata.org/entity/Q93358;;;;engineer,politician;26;12;1956
Ewa Kopacz;;;Skaryszew;http://www.wikidata.org/entity/Q991895;;;Medical University of Lublin,Q9295992;doctor,pediatrician,politician;03;12;1956
Clotilde Armand;;;Pointe-à-Pitre;http://www.wikidata.org/entity/Q335322;;;École Centrale Paris,Massachusetts Institute of Technology;businessperson,politician,civil rights advocate,manager;28;06;1973
Ulrike Müller;;;Augsburg;http://www.wikidata.org/entity/Q2749;;;;politician;07;12;1962
Angelo Ciocca;;;Pavia;http://www.wikidata.org/entity/Q6259;;;Università degli Studi Niccolò Cusano;politician;28;06;1975
Ádám Kósa;;;Budapest;http://www.wikidata.org/entity/Q1781;;;Pázmány Péter Catholic University,Semmelweis University;politician,lawyer;01;07;1975
Enikő Győri;;;Budapest;http://www.wikidata.org/entity/Q1781;;;Corvinus University of Budapest;politician;17;07;1968
Adam Bielan;;;Gdańsk;http://www.wikidata.org/entity/Q1792;;;SGH Warsaw School of Economics,Q9296487;politician;12;09;1974
István Ujhelyi;;;Berettyóújfalu;http://www.wikidata.org/entity/Q793405;;;University of Szeged;politician;28;02;1975
Ryszard Czarnecki;;;London;http://www.wikidata.org/entity/Q84;;;University of Wrocław;politician;25;01;1963
Younous Omarjee;;;Saint-Denis;http://www.wikidata.org/entity/Q47045;;;public international law;politician;30;09;1969
Heidi Hautala;;;Oulu;http://www.wikidata.org/entity/Q47048;;;University of Helsinki;politician,media;14;11;1955
Witold Pahl;;;Wrocław;http://www.wikidata.org/entity/Q1799;;;Faculty of Law and Administration of Adam Mickiewicz University in Poznań,Adam Mickiewicz University in Poznań,SWPS University;politician;07;12;1961
Margrete Auken;Gunnar Auken;Kirsten Auken;Aarhus;http://www.wikidata.org/entity/Q25319;Gunnar Auken,Kirsten Auken;phd;University of Copenhagen,Kildegård Privatskole;politician,priest,theologian;06;01;1945
Tonino Picula;;;Mali Lošinj;http://www.wikidata.org/entity/Q397720;;;Faculty of Humanities and Social Sciences, University of Zagreb;politician,official;31;08;1961
Alexander Yordanov;;;Varna;http://www.wikidata.org/entity/Q6506;;;Shumen University;researcher,politician,official;13;02;1952
Achille Variati;;;Vicenza;http://www.wikidata.org/entity/Q6537;;;University of Padua;politician;19;01;1953
Inese Vaidere;;;Jelgava;http://www.wikidata.org/entity/Q179830;;phd;University of Latvia;politician,teacher,researcher;03;09;1952
Guido Reil;;;Gelsenkirchen;http://www.wikidata.org/entity/Q2765;;;;politician,trade unionist;19;01;1970
Dragoș Tudorache;;;Vaslui;http://www.wikidata.org/entity/Q192269;;;Alexandru Ioan Cuza University;politician,lawyer;14;01;1975
Tineke Strik;;;Alphen;http://www.wikidata.org/entity/Q1949139;;;Radboud University Nijmegen;social worker,politician;28;09;1961
Rasa Juknevičienė;;;Panevėžys;http://www.wikidata.org/entity/Q1719466;;;;politician;26;01;1958
Jill Evans;;;Ystrad;http://www.wikidata.org/entity/Q8059804;;;University of South Wales,University of Glamorgan,Aberystwyth University;politician;08;05;1959
Riho Terras;;;Kohtla-Järve;http://www.wikidata.org/entity/Q201391;;;University of Tartu,Bundeswehr University Munich;politician,military personnel;17;04;1967
Róża Maria Barbara Gräfin von Thun und Hohenstein;Jacek Woźniakowski;;Kraków;http://www.wikidata.org/entity/Q31487;Jacek Woźniakowski;;Jagiellonian University;translator,politician;13;04;1954
Agnes Jongerius;;;De Meern;http://www.wikidata.org/entity/Q3020221;;;Utrecht University;politician,trade unionist;04;11;1960
Adina-Ioana Vălean;;;Țintea;http://www.wikidata.org/entity/Q12168825;;;University of Bucharest;politician;16;02;1968
Corina Crețu;;;Bucharest;http://www.wikidata.org/entity/Q19660;;;Bucharest University of Economic Studies;politician,media,researcher;24;06;1967
Sergio Berlato;;;Marano Vicentino;http://www.wikidata.org/entity/Q46793;;;;politician;27;07;1959
Željana Zovko;;;Mostar;http://www.wikidata.org/entity/Q93347;;;University of North London;politician,official;25;03;1970
Stasys Jakeliūnas;;;Karaganda;http://www.wikidata.org/entity/Q484706;;;Vilnius University;politician,researcher;02;10;1958
Hilde Vautmans;;;Sint-Truiden;http://www.wikidata.org/entity/Q37792;;;;politician;02;05;1972
Tiemo Wölken;;;Otterndorf;http://www.wikidata.org/entity/Q514493;;;Halepaghen-Schule,University of Hull;politician,lawyer;05;12;1985
Matjaž Nemec;Negovan Nemec;Nelida Nemec;Šempeter pri Gorici;http://www.wikidata.org/entity/Q15853;Negovan Nemec,Nelida Nemec;;;politician;10;04;1980
Malik Azmani;;;Heerenveen;http://www.wikidata.org/entity/Q574558;;;University of Groningen;politician;20;01;1976
Dragoș Benea;;;Bacău;http://www.wikidata.org/entity/Q10737004;;;University of Bacău;politician;18;12;1975
András Gyürk;;;Budapest;http://www.wikidata.org/entity/Q1781;;;Franciscan Gymnasium, Szentendre,Eötvös Loránd University,Budapest Business School Faculty of Finance and Accountancy;politician;02;12;1972
Leïla Chaibi;;;Dijon;http://www.wikidata.org/entity/Q7003;;;Institut d'études politiques de Toulouse;politician;05;10;1982
Alessandra Mussolini;Romano Mussolini;Anna Maria Villani Scicolone;Rome;http://www.wikidata.org/entity/Q220;Romano Mussolini,Anna Maria Villani Scicolone,Anna Maria Mussolini,Edda Mussolini,Sophia Loren,Bruno Mussolini,Vittorio Mussolini;;American Overseas School of Rome,Sapienza University of Rome;politician,actor,model,musician;30;12;1962
Charles Goerens;Gust Goerens;;Ettelbruck;http://www.wikidata.org/entity/Q659351;Gust Goerens;;;politician,official;06;02;1952
Éric Andrieu;;;Narbonne;http://www.wikidata.org/entity/Q6555;;;;politician;14;04;1960
Idoia Villanueva Ruiz;;;Pamplona;http://www.wikidata.org/entity/Q10282;;;Autonomous University of Madrid,University of the Basque Country;politician;17;07;1980
Mohammed Chahim;;;Fez;http://www.wikidata.org/entity/Q80985;;;;politician;18;04;1985
Anja Haga;;;Drachten;http://www.wikidata.org/entity/Q60444;;;;politician;25;12;1976
Rob Rooken;;;Groningen;http://www.wikidata.org/entity/Q749;;;;politician;05;10;1969
Ivars Ijabs;;;Riga;http://www.wikidata.org/entity/Q1773;;;University of Latvia;researcher,politician,horn player;17;11;1972
Margarida Marques;;;Bombarral;http://www.wikidata.org/entity/Q891820;;;University of Lisbon,NOVA University Lisbon;politician;02;03;1954
Bernard Guetta;;;Boulogne-Billancourt;http://www.wikidata.org/entity/Q172455;David Guetta;;Centre de formation des journalistes;politician,media,writer;28;01;1951
Izaskun Bilbao Barandica;;;Bermeo;http://www.wikidata.org/entity/Q695444;;;University of the Basque Country,University of Deusto;politician,lawyer;27;03;1961
Pilar del Castillo;;;Nador;http://www.wikidata.org/entity/Q824594;;;Ohio State University,Complutense University of Madrid;politician;31;07;1952
Elżbieta Kruk;;;Lublin;http://www.wikidata.org/entity/Q37333;;;Faculty of Law and Administration, University of Warsaw,John Paul II Catholic University of Lublin,University of Wisconsin–La Crosse;politician;19;11;1959
Beata Kempa;;;Syców;http://www.wikidata.org/entity/Q1001322;;;University of Wrocław;politician;11;02;1966
Beata Mazurek;;;Ostrów Mazowiecka;http://www.wikidata.org/entity/Q841352;;;John Paul II Catholic University of Lublin;politician;19;10;1967
Izabela Kloc;;;Mikołów;http://www.wikidata.org/entity/Q659905;;;University of Silesia in Katowice,John Paul II Catholic University of Lublin;politician;08;05;1963
Catherine Chabaud;;;Bron;http://www.wikidata.org/entity/Q1291;;;Institut Pratique du Journalisme;politician,media,seafarer;29;11;1962
Manuel Bompard;;;Firminy;http://www.wikidata.org/entity/Q387642;;phd;University of Nice Sophia Antipolis;politician,researcher;30;03;1986
Theodoros Zagorakis;;;Lydia, Kavala;http://www.wikidata.org/entity/Q12880311;;;;politician,athlete;27;10;1971
Cindy Franssen;;;Oudenaarde;http://www.wikidata.org/entity/Q12992;;;Ghent University;politician;30;01;1976
Clare Daly;;;Newbridge;http://www.wikidata.org/entity/Q958397;;;Dublin City University;politician,war reporters,activist;11;04;1968
Henna Virkkunen;;;Joutsa;http://www.wikidata.org/entity/Q993058;;;University of Jyväskylä;politician,media;04;06;1972
Helmut Geuking;;;Coesfeld;http://www.wikidata.org/entity/Q14914;;;;politician;16;01;1964
Ann Widdecombe;;;Bath;http://www.wikidata.org/entity/Q22889;;;University of Birmingham,Lady Margaret Hall;politician;04;10;1947
Dubravka Šuica;;;Dubrovnik;http://www.wikidata.org/entity/Q1722;;;Faculty of Humanities and Social Sciences, University of Zagreb;politician;20;05;1957
Moritz Körner;;;Wiesbaden;http://www.wikidata.org/entity/Q1721;;;;politician;03;08;1990
Ilana Cicurel;Raymond Cicurel;Francine Cicurel;Paris;http://www.wikidata.org/entity/Q90;Raymond Cicurel,Francine Cicurel;;Sciences Po,Harvard Law School;politician,radio personality,lawyer;08;02;1972
Mikuláš Peksa;;;Prague;http://www.wikidata.org/entity/Q1085;;;Gymnázium Christiana Dopplera,Faculty of Mathematics and Physics, Charles University;politician,researcher;18;06;1986
Emmanuel Maurel;;;Épinay-sur-Seine;http://www.wikidata.org/entity/Q206961;;;Sciences Po,Paris-Sorbonne University - Paris IV;politician;10;05;1973
Eugen Jurzyca;;;Bratislava;http://www.wikidata.org/entity/Q1780;;;University of Economics in Bratislava,Walsh School of Foreign Service;politician,researcher;08;02;1958
José Ramón Bauzá;;;Madrid;http://www.wikidata.org/entity/Q2807;;;Complutense University of Madrid;politician,doctor;16;11;1970
Özlem Demirel;;;Malatya;http://www.wikidata.org/entity/Q165995;;;University of Bonn;politician;10;03;1984
Geoffroy Didier;;;Boulogne-Billancourt;http://www.wikidata.org/entity/Q172455;;;Sciences Po,Harvard University,ESSEC Business School,Columbia University,Établissement La Rochefoucauld;politician,lawyer;12;04;1976
Reinhard Bütikofer;;;Mannheim;http://www.wikidata.org/entity/Q2119;;;Heidelberg University;politician;26;01;1953
John Howarth;;;Newcastle upon Tyne;http://www.wikidata.org/entity/Q1425428;;;University of Essex;businessperson,politician;31;10;1958
Jozef Mihál;;;Nitra;http://www.wikidata.org/entity/Q26397;;;Comenius University,Charles University;politician;18;03;1965
Hervé Juvin;;;Malestroit;http://www.wikidata.org/entity/Q70222;;;;politician,essayist;29;01;1956
Olivier Chastel;;;Liège;http://www.wikidata.org/entity/Q3992;;;Free University of Brussels;politician,doctor;22;11;1964
Ioannis Lagos;;;Perama;http://www.wikidata.org/entity/Q1960123;;;;politician,liberal profession;07;09;1972
Jean-François Jalkh;;;Tournan-en-Brie;http://www.wikidata.org/entity/Q258059;;;Panthéon-Assas University;politician,media;23;05;1957
Nigel Farage;;;Downe;http://www.wikidata.org/entity/Q125344;;;Dulwich College;autobiographer,spokesperson,broadcaster,commodity broker,politician;03;04;1964
Jérôme Rivière;;;Suresnes;http://www.wikidata.org/entity/Q193929;;;ISG Business School;politician,lawyer;08;07;1964
Rory Palmer;;;Worksop;http://www.wikidata.org/entity/Q2281091;;;University of York;politician;19;11;1981
Frans Timmermans;;;Maastricht;http://www.wikidata.org/entity/Q1309;;;Nancy-Université,University Nancy II,St. George's British International School,Radboud University Nijmegen,University of Lorraine,Bernardinuscollege;politician,official,columnist;06;05;1961
Clara Ponsatí i Obiols;;;Barcelona;http://www.wikidata.org/entity/Q1492;Raimon Obiols i Germà,Josep Obiols i Palau;;University of Barcelona,University of Minnesota,Escola Orlandai,Autonomous University of Barcelona;politician,researcher;19;03;1957
Agnès Evren;;;Paris;http://www.wikidata.org/entity/Q90;;;University of Paris 1 Pantheon-Sorbonne;politician,manager;27;12;1970
Claude Gruffat;;;Rumilly;http://www.wikidata.org/entity/Q841518;;;;researcher,politician,activist;13;09;1957
Nadine Morano;;;Nancy;http://www.wikidata.org/entity/Q40898;;;University of Lorraine;politician;06;11;1963
Nicolas Bay;;;Saint-Germain-en-Laye;http://www.wikidata.org/entity/Q185075;;;Paris Nanterre University;politician;21;12;1977
Carina Ohlsson;;;Råda församling;http://www.wikidata.org/entity/Q10658638;;;;politician;14;06;1957
Pascal Durand;;;Montreuil;http://www.wikidata.org/entity/Q193370;;;Paris 12 University;politician,lawyer;03;10;1960
Pierre Larrouturou;;;Périgueux;http://www.wikidata.org/entity/Q6588;;;Sciences Po,Institut National Agronomique Paris-Grignon;politician;19;10;1964
Ryszard Legutko;;;Kraków;http://www.wikidata.org/entity/Q31487;;phd;Jagiellonian University;politician;24;12;1949
Marian-Jean Marinescu;;;Râmnicu Vâlcea;http://www.wikidata.org/entity/Q192758;;;Politehnica University of Bucharest;engineer,politician;11;08;1952
