identifier;born_day;born_month;born_year;born_place;memberships;degrees;occupation
197587;14;1;1953;Oradea;AGRI,SEDE,D-RU,AFET,DEEA;;
124704;21;2;1980;Slavičín;ENVI,DMAG,DMED,BUDG,REGI,DCAM,DLAT;;
197414;21;8;1969;Lemesos;EMPL,D-TR,AFET,CULT,LIBE,DCAM,DLAT;university;media
197702;13;9;1969;Sevilla;ITRE,FEMM,D-US,EMPL,DASE;university,phd;teacher,researcher
28399;1;4;1970;Pamplona;D-IL,AFET,DARP,DMED,SEDE,D-US;university,phd;
125068;;;;;D-AL,REGI,D-TR,DARP,AFET,AGRI,D-UK;;
197663;23;3;1976;București;EMPL,FISC,D-JP,ECON,D-US;university,phd;teacher,researcher,manager
197585;19;10;1979;;PECH,JURI,DAND,DLAT,TRAN,D-MX,D-BR;;
197680;2;6;1980;;ENVI,SANT,DEPA,DSCA,D-IN;;
96780;2;7;1962;München;CONT,BUDG,D-CN,ECON,DPAL,D-CA;secondary,university;
58789;5;7;1984;Makkinga;ENVI,D-US,AGRI,D-BR;university;politician
197740;18;7;1959;Athènes;ENVI,D-AL,AFET,SANT;;
197767;8;2;1958;Bratislava;IMCO,FISC,DCAS,ECON;university;manager,consultant
197863;11;6;1987;Boston;EMPL,CULT,D-US,LIBE,DACP,DAFR;;
130100;2;5;1972;Sint-Truiden;AFET,D-UK,AGRI,LIBE,FEMM,D-JP;university;
197868;11;2;1989;ZOETERMEER;INTA,FEMM,D-CL,DLAT,EMPL,DROI,DCAR,DMER;;
103381;9;5;1987;Gelsenkirchen;EMPL,LIBE,FEMM,D-UK;university;politician
28294;1;8;1959;Maribor;ENVI,D-IL,TRAN,DMED,DACP,DAFR;;politician,teacher,manager
197667;;;;;TRAN,D-IN,IMCO,DEEA;;
247709;25;12;1976;Drachten;PECH,DROI,DSAS,AFET,DMAS;;
197589;6;9;1966;Nimes;CULT,D-IN,REGI,DKOR,DEPA;;manager,consultant
197408;22;5;1976;Ludwigsburg;DEVE,ENVI,ITRE,D-ME,D-CA,D-TR;secondary,university;politician,official
96646;21;6;1954;Berlin;INTA,AFCO,D-MD,D-BY,D-US,DEPA,D-UK,D-CN;;
