identifier;name;familyName;givenName;country;group;gender;memberships;born_place;born_day;born_month;born_year;disability;relatives;educated_at;highest_degree;occupation
197791;massimiliano smeriglio;Smeriglio;Massimiliano;IT;NI;MALE;;Roma;8;5;1966;;;Sapienza University of Rome;;politician
197824;giuseppe milazzo;Milazzo;Giuseppe;IT;ECR;MALE;REGI,DACP,DAFR,LIBE;Palermo;21;8;1977;;;Libera Università Maria SS. Assunta;;politician
124850;emil radev;Radev;Emil;BG;PPE;MALE;LIBE,PETI,DACP,DAFR,JURI,DKOR,DEPA;Varna;26;5;1971;;;Varna Free University,University of Economics - Varna;;politician,lawyer
197417;tomislav sokol;Sokol;Tomislav;HR;PPE;MALE;IMCO,SANT,D-TR,ENVI,REGI,D-ME,DMED;Zagreb;20;9;1982;;;University of Zagreb;;politician
197453;anna deparnay-grunenberg;Deparnay-Grunenberg;Anna;DE;Verts/ALE;FEMALE;DEEA,TRAN,DMER,ENVI,REGI,AGRI,DLAT;Berlin;5;6;1976;;;;university;politician
197699;elena kountoura;KOUNTOURA;Elena;GR;The Left;FEMALE;TRAN,DKOR,DMED,ITRE,FEMM,DMAS,D-US;Athens;2;11;1962;;Alexandros Kountouras;National and Kapodistrian University of Athens;university;politician,model,athlete,manager
96756;sabine verheyen;Verheyen;Sabine;DE;PPE;FEMALE;CULT,DPAP,DEVE,D-ZA,DACP,DAFR;Aachen;24;10;1964;;;St. Ursula Gymnasium Aachen,FH Aachen;university;politician
197734;lefteris nikolaou-alavanos;NIKOLAOU-ALAVANOS;Lefteris;GR;NI;MALE;BUDG,ECON,D-MK,PETI,D-UK;Athens;7;2;1985;;;;;
124722;csaba molnár;Molnár;Csaba;HU;S&D;MALE;ECON,DASE,ITRE,D-US;Csorna;4;12;1975;;;Eötvös Loránd University;university;politician,lawyer,researcher
28619;tatjana ždanoka;Ždanoka;Tatjana;LV;NI;FEMALE;PETI,D-AF,D-IN;Rīga;8;5;1950;;;University of Latvia;phd;teacher,politician,researcher,manager
29579;marc tarabella;Tarabella;Marc;BE;NI;MALE;PECH,CULT,PETI;Ougrée;11;3;1963;;;University of Liège;university;politician,researcher
197838;juozas olekas;Olekas;Juozas;LT;S&D;MALE;D-BY,AGRI,DEPA,AFET,SEDE,DNAT,DACP,DPAC;Mazas Ungutas;30;10;1955;;;Vilnius University;;politician,doctor,teacher
5565;brice hortefeux;Hortefeux;Brice;FR;PPE;MALE;AFCO,DMAG,DMED,TRAN,LIBE;Neuilly-sur-Seine;11;5;1958;;;Paris Nanterre University,Institut national des études territoriales,Sciences Po,University of Paris;university;politician,manager
197400;abir al-sahlani;Al-Sahlani;Abir;SE;Renew;FEMALE;D-IQ,LIBE,EMPL,FEMM,DSEE;Basra;18;5;1976;;;Mid Sweden University;university;politician,manager
197844;petar vitanov;Vitanov;Petar;BG;S&D;MALE;ENVI,TRAN,DSCA,DEPA,LIBE,DSEE,D-RU;Sliven;18;4;1982;;;Sofia University;;politician
237465;matthias ecke;Ecke;Matthias;DE;S&D;MALE;REGI,D-BY,ITRE,D-IL,DPAL,DEPA;Meerane;12;4;1983;;;Leipzig University,Charles University;university;official,politician,researcher,manager
197533;manon aubry;Aubry;Manon;FR;The Left;FEMALE;ECON,JURI,FISC,DCAR,DEVE;Frejus;22;12;1989;;;Columbia University,University of Sydney,Sciences Po;university;politician,teacher,athlete,activist
197552;veronika vrecionová;Vrecionová;Veronika;CZ;ECR;FEMALE;AGRI,DAND,DLAT,EMPL,D-US;České Budějovice;8;9;1965;;;Prague University of Economics and Business;;politician
24922;pascal arimont;Arimont;Pascal;BE;PPE;MALE;REGI,JURI,DANZ,ITRE,D-ZA;Malmedy;25;9;1974;;;Université catholique de Louvain;university;politician,lawyer
35016;marco campomenosi;Campomenosi;Marco;IT;ID;MALE;TRAN,D-UK,D-IQ,D-IR,DLAT,INTA,IMCO,D-MX,D-JP;GENOVA;2;9;1975;;;University of Genoa;university;consultant,politician,lawyer,manager
193273;romeo franz;Franz;Romeo;DE;Verts/ALE;MALE;DSEE,CULT,EMPL,LIBE,D-AL;Kaiserslautern;28;10;1966;;;;;pianist,politician,jazz musician
96812;juan fernando lópez aguilar;López Aguilar;Juan Fernando;ES;S&D;MALE;LIBE,DACP,DAFR,DEVE,AFCO,D-IR,D-CN,DLAT;Las Palmas de Gran Canaria;10;6;1961;;;Tufts University,The Fletcher School of Law and Diplomacy,University of Granada,University of Bologna,Complutense University of Madrid;phd;caricaturist,researcher,teacher,politician,lawyer
197470;saskia bricmont;Bricmont;Saskia;BE;Verts/ALE;FEMALE;INTA,LIBE,DMAG,D-CA,DMED;Tournai;16;3;1985;;;Free University of Brussels,Institut d'études européennes,Université Libre de Bruxelles;;politician
