identifier;name;familyName;givenName;country;group;gender;memberships;born_place;born_day;born_month;born_year;disability;relatives;educated_at;highest_degree;occupation
197503;david cormand;Cormand;David;FR;Verts/ALE;MALE;IMCO,AGRI,JURI;Mont Saint Aignan;30.0;11.0;1974.0;;;University of Rouen;university;politician
256970;raquel garcía hermida-van der walle;García Hermida-Van Der Walle;Raquel;NL;Renew;FEMALE;REGI,LIBE,FEMM;Madrid;28.0;5.0;1983.0;;;;;
197516;patryk jaki;Jaki;Patryk;PL;ECR;MALE;AFCO,ITRE;Opole;11.0;5.0;1985.0;;;Faculty of Social Sciences of University of Wrocław;phd;politician,researcher,manager,teacher
245770;irene montero;Montero;Irene;ES;The Left;FEMALE;FEMM,AFET;Madrid;13.0;2.0;1988.0;;;;;
257131;anna maria cisint;Cisint;Anna Maria;IT;PfE;FEMALE;TRAN,PECH,LIBE,FEMM;;;;;;;;;
220840;jaroslav bžoch;Bžoch;Jaroslav;CZ;PfE;MALE;LIBE,IMCO;Teplice;30.0;11.0;1983.0;;;;;
256928;petr bystron;Bystron;Petr;DE;ESN;MALE;AFET,EMPL,IMCO;Olmuetz;30.0;11.0;1972.0;;;;;
197401;karin karlsbro;Karlsbro;Karin;SE;Renew;FEMALE;INTA,ENVI,PECH;Roslags-Bro;23.0;9.0;1970.0;;;Stockholm University,London School of Economics and Political Science;university;manager,politician
256881;barbara bonte;Bonte;Barbara;BE;PfE;FEMALE;ENVI,ITRE,AGRI;Brussels;13.0;5.0;1983.0;;;;;
257041;jacek protas;Protas;Jacek;PL;PPE;MALE;CONT,BUDG,REGI;Lidzbark Warmiński;15.0;1.0;1964.0;;;;;
257298;ciaran mullooly;Mullooly;Ciaran;IE;Renew;MALE;REGI,AGRI;Longford;4.0;9.0;1966.0;;;;;
256967;jan-peter warnke;Warnke;Jan-Peter;DE;NI;MALE;EMPL,ECON;;;;;;;;;
96830;enikő győri;Győri;Enikő;HU;PfE;FEMALE;INTA,ECON,FISC;Budapest;17.0;7.0;1968.0;;;Corvinus University of Budapest;phd;teacher,manager,politician
257106;alessandro zan;Zan;Alessandro;IT;S&D;MALE;LIBE,JURI,AFCO;Padova;4.0;10.0;1973.0;;;;;
22418;esther herranz garcía;Herranz García;Esther;ES;PPE;FEMALE;ENVI,AGRI;Logroño;3.0;7.0;1969.0;;;;phd;manager,consultant,official
97399;dirk gotink;Gotink;Dirk;NL;PPE;MALE;ECON,CONT,IMCO;Haarlem;13.0;8.0;1981.0;;;;;
256910;anthony smith;Smith;Anthony;FR;The Left;MALE;ITRE,AFCO,CULT;SOISSONS;3.0;4.0;1975.0;;;;;
256994;idoia mendia cueva;Mendia Cueva;Idoia;ES;S&D;FEMALE;EMPL,IMCO,PECH,AFCO;Bilbao;27.0;10.0;1965.0;;;;;
125204;borja giménez larraz;Giménez Larraz;Borja;ES;PPE;MALE;TRAN,INTA,AFCO;;;;;;;;;
257104;ruggero razza;Razza;Ruggero;IT;ECR;MALE;BUDG,SANT;Milan;23.0;9.0;1980.0;;;;;
257126;gaetano pedulla';Pedulla';Gaetano;IT;The Left;MALE;ECON,ITRE,IMCO,LIBE;Catania;5.0;1.0;1967.0;;;;;
256851;ondřej dostál;Dostál;Ondřej;CZ;NI;MALE;ENVI,FEMM;;;;;;;;;
256978;reinier van lanschot;Van Lanschot;Reinier;NL;Verts/ALE;MALE;AFCO,IMCO;Saint-Germain-en-Laye;7.0;12.0;1989.0;;;;;
