id;type;officialFamilyName;officialGivenName;identifier;name;familyName;givenName;sortLabel;country;group
person/4289;Person;;;4289;Angelika NIEBLER;Niebler;Angelika;NIEBLER;DE;PPE
person/124736;Person;;;124736;Merja KYLLÖNEN;Kyllönen;Merja;KYLLONEN;FI;The Left
person/197493;Person;;;197493;Jaak MADISON;Madison;Jaak;MADISON;EE;ECR
person/197636;Person;;;197636;Ioan-Rareş BOGDAN;Bogdan;Ioan-Rareş;BOGDAN;RO;PPE
person/197702;Person;;;197702;Lina GÁLVEZ;Gálvez;Lina;GALVEZ;ES;S&D
person/197718;Person;;;197718;Nicolás GONZÁLEZ CASARES;González Casares;Nicolás;GONZALEZCASARES;ES;S&D
person/24942;Person;;;24942;Ana MIRANDA PAZ;Miranda Paz;Ana;MIRANDA ANA;ES;Verts/ALE
person/256966;Person;;;256966;Michael VON DER SCHULENBURG;von der Schulenburg;Michael;VONDERSCHULENBURGM;DE;NI
person/256834;Person;;;256834;Elisabeth DIERINGER;Dieringer;Elisabeth;DIERINGERGRANZAE;AT;PfE
person/256854;Person;;;256854;Balázs GYŐRFFY;Győrffy;Balázs;GYORFFYB;HU;PfE
person/257129;Person;;;257129;Mimmo LUCANO;Lucano;Mimmo;LUCANOM;IT;The Left
person/23788;Person;;;23788;Adam BIELAN;Bielan;Adam;BIELAN;PL;ECR
person/197581;Person;;;197581;Stéphanie YON-COURTIN;Yon-Courtin;Stéphanie;YON-COURTIN;FR;Renew
person/197503;Person;;;197503;David CORMAND;Cormand;David;CORMAND;FR;Verts/ALE
person/256970;Person;;;256970;Raquel GARCÍA HERMIDA-VAN DER WALLE;García Hermida-Van Der Walle;Raquel;GARCÍAHERMIDAVANDERWALLER;NL;Renew
person/197516;Person;;;197516;Patryk JAKI;Jaki;Patryk;JAKI;PL;ECR
person/245770;Person;;;245770;Irene MONTERO;Montero;Irene;MONTEROGILI;ES;The Left
person/257131;Person;;;257131;Anna Maria CISINT;Cisint;Anna Maria;CISINTA;IT;PfE
person/220840;Person;;;220840;Jaroslav BŽOCH;Bžoch;Jaroslav;BZOCHJ;CZ;PfE
person/256928;Person;;;256928;Petr BYSTRON;Bystron;Petr;BYSTRONP;DE;ESN
person/197401;Person;;;197401;Karin KARLSBRO;Karlsbro;Karin;KARLSBRO;SE;Renew
person/256881;Person;;;256881;Barbara BONTE;Bonte;Barbara;BONTEB;BE;PfE
person/257041;Person;;;257041;Jacek PROTAS;Protas;Jacek;PROTASJ;PL;PPE
person/257298;Person;;;257298;Ciaran MULLOOLY;Mullooly;Ciaran;MULLOOLYC;IE;Renew
person/256967;Person;;;256967;Jan-Peter WARNKE;Warnke;Jan-Peter;WARNKEJ;DE;NI
person/96830;Person;;;96830;Enikő GYŐRI;Győri;Enikő;GYORI;HU;PfE
person/257106;Person;;;257106;Alessandro ZAN;Zan;Alessandro;ZANA;IT;S&D
person/22418;Person;;;22418;Esther HERRANZ GARCÍA;Herranz García;Esther;HERRANZGARCIA;ES;PPE
person/97399;Person;;;97399;Dirk GOTINK;Gotink;Dirk;GOTINK;NL;PPE
person/256910;Person;;;256910;Anthony SMITH;Smith;Anthony;SMITHA;FR;The Left
person/256994;Person;;;256994;Idoia MENDIA CUEVA;Mendia Cueva;Idoia;MENDIACUEVAI;ES;S&D
person/125204;Person;;;125204;Borja GIMÉNEZ LARRAZ;Giménez Larraz;Borja;GIMENEZLARRAZB;ES;PPE
person/257104;Person;;;257104;Ruggero RAZZA;Razza;Ruggero;RAZZAR;IT;ECR
person/257126;Person;;;257126;Gaetano PEDULLA';Pedulla';Gaetano;PEDULLAG;IT;The Left
person/256851;Person;;;256851;Ondřej DOSTÁL;Dostál;Ondřej;DOSTÁLO;CZ;NI
person/256978;Person;;;256978;Reinier VAN LANSCHOT;Van Lanschot;Reinier;VANLANSCHOTR;NL;Verts/ALE
person/33998;Person;;;33998;Vasile DÎNCU;Dîncu;Vasile;DINCU;RO;S&D
person/256809;Person;;;256809;Paulius SAUDARGAS;Saudargas;Paulius;SAUDARGASP;LT;PPE
person/197414;Person;Φουρλάς;Λουκάς;197414;Loucas FOURLAS;Fourlas;Loucas;FOURLAS;CY;PPE
person/28399;Person;;;28399;Antonio LÓPEZ-ISTÚRIZ WHITE;López-Istúriz White;Antonio;LOPEZISTURIZ;ES;PPE
person/256950;Person;ΤΣΙΟΔΡΑΣ;ΔΗΜΗΤΡΗΣ;256950;Dimitris TSIODRAS;Tsiodras;Dimitris;TSIODRASD;GR;PPE
person/257262;Person;ЛАЙКОВА;Рада;257262;Rada LAYKOVA;Laykova;Rada;LAYKOVAR;BG;ESN
person/256815;Person;;;256815;Marjan ŠAREC;Šarec;Marjan;SARECM;SI;Renew
person/96780;Person;;;96780;Monika HOHLMEIER;Hohlmeier;Monika;HOHLMEIER;DE;PPE
person/256992;Person;;;256992;Hana JALLOUL MURO;Jalloul Muro;Hana;JALLOULMUROH;ES;S&D
person/236050;Person;;;236050;Marie DAUCHY;Dauchy;Marie;DAUCHY;FR;PfE
